Calle los Tanques;los Tanques
Calle Santiago;Santiago
Calle La Rosa;La Rosa
Calle Taller de Chanel;Taller Chanel
Calle San José;San José
Calle La Mina;La Mina
Calle Montero;Montero
Calle Chana;Chana
Calle Mora;Mora
Calle Pata de Gallo;Pata Gallo
Calle Mora;Mora
Calle La Chola;La Chola
Calle Santiago;Santiago
Calle La Plaza;La Plaza
Calle Rafael Solano;Rafael Solano
Vía 714;714
Calle Nano Rojas;Nano Rojas
Calle Ñangaro;Ñangaro
Calle Vargas;Vargas
Calle Chana;Chana
Calle Carlos Tamuga;Carlos Tamuga
Calle Panadería Vargas;Panadería Vargas
Calle Rafael Solano;Rafael Solano
Calle Chirracas;Chirracas
Calle Jiménez;Jiménez
Vía 135;135
Vía 135;135
Calle Las Palmas;Las Palmas
Calle Maroto;Maroto
Calle Cocaleca;Cocaleca
Vía 715;715
Calle Maroto;Maroto
Calle La Reforestación;La Reforestación
Calle La Chola;La Chola
Calle Escuela Vieja;Escuela Vieja
Calle Lorito;Lorito
Vía 135;135
Calle Lorito;Lorito
Calle Corella;Corella
Calle Bolaños;Bolaños
Calle Granja Zaragoza;Granja Zaragoza
Calle Ángeles;Ángeles
Vía 715;715
Calle Chuta;Chuta
Calle La Chayotera;La Chayotera
Vía 714;714
Calle Lorito;Lorito
Calle La Legua;La Legua
Vía 715;715
Calle Las Palmas;Las Palmas
Calle La Hacienda;Calle La
Calle Las Palmas;Las Palmas
Calle Las Palmas;Las Palmas
Calle La Hacienda;Calle La
Calle Las Palmas;Las Palmas
Vía 135;135
Vía 135;135
Calle Maroto;Maroto
Calle La Hacienda;Calle La
Calle Iglesia;Iglesia
Calle Iglesia;Iglesia
Calle Willys;Willys
Calle Ivo Rojas;Ivo Rojas
Calle La Chola;La Chola
Calle Torunes;Torunes
Calle La Hacienda;Calle La
Calle Cubero;Cubero
Calle Lorito;Lorito
Calle La Chola;La Chola
Calle Candelillo;Candelillo
Calle La Presa;La Presa
Vía 714;714
Calle Fábrica de Alimentos;Fábrica Alimentos
Vía 135;135

