calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Santa Bárbara;Santa Bárbara;Santa;Bárbara;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_B%C3%A1rbara
Calle Elizabeth;Elizabeth;Elizabeth;;2;Female;-;-;https://es.wikipedia.org/wiki/Elizabeth_Fullhame
Calle Santa Elena;Santa Elena;Santa;Elena;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Elena_de_Orleans
Avenida Antonio Arroyo;Antonio Arroyo;Antonio;Arroyo;-2;Male;-;-
Calle Fátima;Fátima;Fátima;;2;Female;-;-;https://es.wikipedia.org/wiki/F%C3%A1tima_Bernardes
Calle Fabio Molina;Fabio Molina;Fabio;Molina;-2;Male;-;-
Calle Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male;-;-
Calle Jesús Ocaña;Jesús Ocaña;Jesús;Ocaña;-2;Male;-;-
Calle Lirios;Lirios;Lirios;;2;Female;-;-;https://es.wikipedia.org/wiki/Liris_Sol_Vel%C3%A1squez
Calle Providencia;Providencia;Providencia;;2;Female;-;-;https://es.wikipedia.org/wiki/Prudencia_Ayala
Avenida Magnolia;Magnolia;Magnolia;;2;Female;-;-;https://es.wikipedia.org/wiki/Diana_Romagnoli
Calle Viana do Castelo;Viana do Castelo;Viana;do;2;Female;-;-;https://es.wikipedia.org/wiki/Juana_de_Castro
Calle Loma Linda;Loma Linda;Loma;Linda;2;Female;-;-;https://es.wikipedia.org/wiki/Rosalinda_Celentano
Calle Rey David;Rey David;Rey;David;-2;Male;-;-
Calle La Eli;La Eli;La;Eli;2;Female;-;-;https://es.wikipedia.org/wiki/Isla_Elizabeth_Phillips
Calle de la Luna;Luna;Luna;;2;Female;-;-;https://es.wikipedia.org/wiki/Luna_Mijovi%C4%87
Calle Don Luis;Don Luis;Don;Luis;-2;Male;-;-
Calle Pérez;Pérez;Pérez;;-2;Male;-;-
Avenida El Ron Ron;El Ron Ron;El;Ron;-2;Male;-;-
Avenida 01 de Mayo;01 Mayo;01;Mayo;-2;Male;-;-
Avenida São Paulo;São Paulo;São;Paulo;-2;Male;-;-
Calle Sophia;Sophia;Sophia;;2;Female;-;-;https://es.wikipedia.org/wiki/Sophia_Brahe
Calle Évora;Évora;Évora;;2;Female;-;-;https://es.wikipedia.org/wiki/%C3%89vora_Tamayo
Avenida Asunción;Asunción;Asunción;;2;Female;-;-;https://es.wikipedia.org/wiki/Asunci%C3%B3n_Balaguer
Avenida Alexa;Alexa;Alexa;;2;Female;-;-;https://es.wikipedia.org/wiki/Alexandra_Stan
Avenida Maravilla;Maravilla;Maravilla;;2;Female;-;-;https://es.wikipedia.org/wiki/Maravillas_de_Jes%C3%BAs
Avenida Rosario;Rosario;Rosario;;2;Female;-;-;https://es.wikipedia.org/wiki/Rosario_Flores
Avenida Santiago;Santiago;Santiago;;-2;Male;-;-
Avenida Atocha;Atocha;Atocha;;2;Female;-;-;https://es.wikipedia.org/wiki/Anocha_Suwichakornpong
Avenida Holanda;Holanda;Holanda;;2;Female;-;-;https://es.wikipedia.org/wiki/Berta_de_Holanda
Calle La Haya;La Haya;La;Haya;2;Female;-;-;https://es.wikipedia.org/wiki/Hela_Ayari
Calle Bélgica;Bélgica;Bélgica;;2;Female;-;-;https://es.wikipedia.org/wiki/B%C3%A9lgica_Castro
Calle Los Araya;Los Araya;Los;Araya;2;Female;-;-;https://es.wikipedia.org/wiki/Loreto_Araya-Ayala
Banco Nacional de Costa Rica;Banco Nacional de Costa Rica;Banco;Nacional;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Ana_de_Austria_(1683-1754)
Pasaje León Cortés Castro;León Cortés Castro;León;Cortés;-2;Male;-;-
Calle La Esperanza;La Esperanza;La;Esperanza;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Esperanza_Franco-Molano
Calle Florida;Florida;Florida;;2;Female;-;-;https://es.wikipedia.org/wiki/Florida_Cevoli
Calle San Antonio;San Antonio;San;Antonio;-2;Male;-;-
Calle San Miguel;San Miguel;San;Miguel;-2;Male;-;-
Calle Bernardo Castro;Bernardo Castro;Bernardo;Castro;-2;Male;-;-
Calle La Gardenia;La Gardenia;La;Gardenia;2;Female;-;-;https://es.wikipedia.org/wiki/Fidela_Gardeta
Calle Román;Román;Román;;-2;Male;-;-
Boulevard de Andalucía;Andalucía;Andalucía;;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Luc%C3%ADa_Dom%C3%ADnguez
Boulevard de Andalucía Sur;Andalucía Sur;Andalucía;Sur;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Luc%C3%ADa_Reis
Boulevard de Andalucía Norte;Andalucía Norte;Andalucía;Norte;2;Female;-;-;https://es.wikipedia.org/wiki/Ena_Luc%C3%ADa_Portela
Boulevard Flores;Flores;Flores;;2;Female;-;-;https://es.wikipedia.org/wiki/Florestina_de_M%C3%B3naco
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Luc%C3%ADa_Dom%C3%ADnguez
Calle San Pío;San Pío;San;Pío;-2;Male;-;-
Calle Los Pérez;Los Pérez;Los;Pérez;-2;Male;-;-
Calle Jerusalén;Jerusalén;Jerusalén;;2;Female;-;-;https://es.wikipedia.org/wiki/Sibila_de_Jerusal%C3%A9n
Avenida Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male;-;-
Avenida Juan Santamaria;Juan Santamaria;Juan;Santamaria;-2;Male;-;-
Calle La Concordia;La Concordia;La;Concordia;2;Female;-;-;https://es.wikipedia.org/wiki/Coelia_Concordia
Avenida Cristóbal;Cristóbal;Cristóbal;;-2;Male;-;-
Calle San Vicente;San Vicente;San;Vicente;-2;Male;-;-
Calle La Candela;La Candela;La;Candela;2;Female;-;-;https://es.wikipedia.org/wiki/Pilar_Cancela_Rodr%C3%ADguez
Calle Grecia;Grecia;Grecia;;2;Female;-;-;https://es.wikipedia.org/wiki/Grecia_Colmenares
Calle Santa Marta;Santa Marta;Santa;Marta;2;Female;-;-;https://es.wikipedia.org/wiki/Cara_Santa_Maria
Calle Edwin;Edwin;Edwin;;-2;Male;-;-
Avenida Bertilia;Bertilia;Bertilia;;2;Female;-;-;https://es.wikipedia.org/wiki/Bertila_de_Spoleto
Calle Ulises;Ulises;Ulises;;-2;Male;-;-
Calle Fabio;Fabio;Fabio;;-2;Male;-;-
Avenida Santa Teresita;Santa Teresita;Santa;Teresita;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Teresita_de_J._Colotti
Calle Primera - Simón;Primera - Simón;Primera;-;-2;Male;-;-
Avenid 6;enid 6;enid;6;2;Female;-;-;https://es.wikipedia.org/wiki/Enid_Markey
Avenida La Fraternidad;La Fraternidad;La;Fraternidad;2;Female;-;-;https://es.wikipedia.org/wiki/La_Materialista
Calle Primavera;Primavera;Primavera;;2;Female;-;-;https://es.wikipedia.org/wiki/Primavera_Izaguirre
Calle María Auxiliadora;María Auxiliadora;María;Auxiliadora;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora_Delgado
Calle Arena;Arena;Arena;;2;Female;-;-;https://es.wikipedia.org/wiki/Arenales_Serrano
Pasaje Roma;Roma;Roma;;2;Female;-;-;https://es.wikipedia.org/wiki/Roma_Maffia
Calle Paloma;Paloma;Paloma;;2;Female;-;-;https://es.wikipedia.org/wiki/Paloma_Faith
Calle Salvador;Salvador;Salvador;;-2;Male;-;-
